Pachycordyle navis
Ascidia curvata
Perforatus perforatus
Steromphala adansonii
Coregonus muksun
Womersleyella setacea
Rhopilema nomadica
Callonetta leucophrys
Haplosporidium nelsoni
Schizoporella pungens
Mycteroperca tigris
Barentsia benedeni
Dasysiphonia japonica
Sagittaria latifolia
Dasya pedicellata
Charybdis japonica
Laurencia chondrioides
Pyromaia tuberculata
Limnoria tripunctata
Triturus carnifex
Monodactylus sebae
Predaea huismanii
Sargassum muticum
Matuta victor
Clavelina lepadiformis
Asparagopsis taxiformis
Azolla filiculoides
Myriophyllum hippuroides
Tritia neritea
Microcosmus exasperatus
Polysiphonia forfex
Channa argus
Physella heterostropha
Ceramium circinatum
Pachymeniopsis gargiuloi
Anomia chinensis
Lactuca tatarica
Solieria chordalis
Escharina vulgaris
Euplana gracilis
Dipolydora capensis
Avrainvillea canariensis
Acanthurus monroviae
Notocomplana koreana
Smittoidea prolifica
Chama pacifica
Anser caerulescens
Afropinnotheres monodi
Pylaiella littoralis
Crepipatella dilatata
Asteromphalus sarcophagus
Ciona intestinalis
Ptilohyale littoralis
Yoldia limatula
Marphysa victori
Ammothea hilgendorfi
Halimeda incrassata
Hypereteone lighti
Undaria pinnatifida
Aglaothamnion cordatum
Zeuxo turkensis
Ampelisca heterodactyla
Pacificincola perforata
Lomentaria hakodatensis
Metasychis gotoi
Gyrodactylus salaris
Aedes koreicus
Lepadogaster candolii
Ampelisca cavicoxa
Sphaeroma walkeri
Rypticus saponaceus
Haloa japonica
Mycale senegalensis
Sparisoma frondosum
Gymnomuraena zebra
Arcuatula senhousia
Spongoclonium caribaeum
Hildenbrandia occidentalis
Cutleria multifida
Plotosus lineatus
Prionospio aluta
Rhizosolenia calcar-avis
Chaetogammarus ischnus
Pontogammarus robustoides
Polydora colonia
Dikerogammarus haemobaphes
Corbicula fluminea
Neomysis americana
Dicroerisma psilonereiella
Prognathodes marcellae
Bonamia exitiosa
Gyrodinium corallinum
Pistia stratiotes
Tubastraea coccinea
Crepidula fornicata
Acrotrichis insularis
Adelosina carinatastriata
Platorchestia platensis
